,价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
3288,2850,11,10670-C,3室1卫,11/12层,东城区,广渠门外,广渠门外南街,"地铁：距7号线,17号线广渠门外站450米"
3289,1950,20,125977-A,3室1卫,7/10层,昌平区,南邵,兴昌佳苑,地铁：距昌平线南邵站1000米
3290,4350,18,126749-B,5室1卫,10/26层,朝阳区,惠新西街北口,世纪嘉园,地铁：距5号线惠新西街北口站800米
3291,2980,12,123923-C,4室1卫,4/18层,海淀区,西二旗,铭科苑,"地铁：距13号线,昌平线西二旗站800米"
3292,2550,15,1078-B,3室1卫,3/6层,朝阳区,黄渠,常营民族家园CDF区,地铁：距6号线黄渠站750米
3293,1910,14,130561-B,3室1卫,5/12层,大兴区,枣园,兴盛街189号院,地铁：距4号线大兴线枣园站1400米
3294,1870,12,130561-C,3室1卫,5/12层,大兴区,枣园,兴盛街189号院,地铁：距4号线大兴线枣园站1400米
3295,5400,67,133422-A,1室1卫,12/32层,海淀区,育新,新康园,地铁：距8号线育新站600米
3296,2470,12,135806-A,3室1卫,5/6层,丰台区,丰台南路,造甲南里20号院,地铁：距9号线丰台南路站400米
3297,2940,15,12057-B,3室1卫,8/8层,朝阳区,星火,姚家园西里1号院,"地铁：距3号线,20号线星火站600米"
3298,2670,17,139060-A,3室1卫,5/6层,大兴区,西红门,兴海家园日苑,地铁：距4号线大兴线西红门站350米
3299,2550,10,143312-C,4室1卫,2/6层,朝阳区,星火,姚家园西里5号院,"地铁：距3号线,20号线星火站600米"
3300,4440,61,145004-A,2室1卫,4/6层,大兴区,枣园,滨河西里,地铁：距4号线大兴线枣园站650米
3301,6640,40,150694-A,1室1卫,3/6层,西城区,积水潭,德胜里一区,"地铁：距2号线,19号线积水潭站1050米"
3302,1720,14,151504-B,3室1卫,2/6层,大兴区,黄村火车站,观音寺南里,地铁：距4号线大兴线黄村火车站站1500米
3303,1690,11,151882-A,3室1卫,4/6层,昌平区,昌平,南环里,地铁：距昌平线昌平站850米
3304,2830,17,151544-A,3室1卫,2/6层,大兴区,荣京东街,上海沙龙,地铁：距亦庄线荣京东街站1350米
3305,1920,16,152481-C,3室1卫,4/6层,大兴区,黄村火车站,海子角南里,地铁：距4号线大兴线黄村火车站站1200米
3306,3490,13,153712-A,2室1卫,14/20层,海淀区,育新,育新花园,地铁：距8号线育新站400米
3307,3800,16,156779-B,2室1卫,3/6层,朝阳区,柳芳,和平街十四区,地铁：距13号线柳芳站450米
3308,2640,11,151368-B,2室1卫,4/6层,通州区,物资学院路,新建村二期,地铁：距6号线物资学院路站550米
3309,3090,13,14500-A,2室1卫,11/26层,丰台区,西铁营,亚林西居住区,地铁：距14号线东段西铁营站450米
3310,2140,10,1712-C,3室1卫,7/18层,朝阳区,管庄,管庄新村,地铁：距八通线管庄站600米
3311,2710,9,17984-A,4室1卫,6/11层,海淀区,清河,上林溪,地铁：距13号线上地站1600米
3312,4010,19,17984-C,4室1卫,6/11层,海淀区,清河,上林溪,地铁：距13号线上地站1600米
3313,2970,10,17984-D,4室1卫,6/11层,海淀区,清河,上林溪,地铁：距13号线上地站1600米
3314,3030,14,19706-A,2室1卫,20/24层,朝阳区,青年路,富华家园,地铁：距6号线青年路站950米
3315,2380,11,19980-B,4室1卫,1/6层,昌平区,龙泽,北京人家,地铁：距13号线龙泽站1500米
3316,2570,10,19927-A,2室1卫,5/5层,东城区,广渠门外,广和东里,"地铁：距7号线,17号线广渠门外站500米"
3317,2360,9,19019-B,3室1卫,14/21层,丰台区,樊羊路,花香东苑,地铁：距房山线樊羊路站450米
3318,1430,8,21862-C,3室1卫,11/22层,房山区,良乡大学城,首创紫悦台,地铁：距房山线良乡大学城站550米
3319,1760,10,21238-A,4室1卫,1/5层,通州区,次渠南,敬园小区,地铁：距亦庄线次渠南站850米
3320,2660,16,23380-C,3室1卫,4/6层,朝阳区,草房,连心园东区,地铁：距6号线草房站500米
3321,1850,12,23762-A,3室1卫,4/6层,通州区,通州北关,刘庄新村,地铁：距6号线通州北关站2700米
3322,2250,10,24648-B,3室1卫,8/16层,顺义区,花梨坎,枫泉花园,地铁：距15号线花梨坎站700米
3323,2010,10,24111-A,4室1卫,5/27层,通州区,九棵树,玉兰湾,地铁：距八通线梨园站900米
3324,2470,11,25020-C,4室1卫,2/4层,昌平区,回龙观,南店新村,地铁：距8号线育新站1100米
3325,2060,12,25911-C,4室1卫,12/16层,房山区,篱笆房,天资华府,地铁：距房山线篱笆房站1950米
3326,2520,14,27229-C,3室1卫,18/28层,朝阳区,小红门,鸿博家园二期F区,地铁：距亦庄线小红门站550米
3327,2240,10,2769-C,3室1卫,4/27层,通州区,物资学院路,新建村小区,地铁：距6号线物资学院路站550米
3328,1890,11,28820-B,4室1卫,4/6层,昌平区,沙河高教园,北街家园六区,地铁：距昌平线沙河高教园站1900米
3329,1090,10,26499-A,4室1卫,3/6层,房山区,星城,星城北里,地铁：距燕房线星城站200米
3330,2730,16,2465-B,3室1卫,12/18层,朝阳区,星火,姚家园东里7号院,"地铁：距3号线,20号线星火站800米"
3331,3010,15,3090-A,3室1卫,4/6层,朝阳区,传媒大学,电建南院,地铁：距八通线传媒大学站500米
3332,2580,13,32805-A,3室1卫,26/27层,朝阳区,小红门,鸿博家园二期C区,地铁：距亦庄线小红门站550米
3333,2530,13,3170-A,4室1卫,5/6层,朝阳区,双桥,双惠苑,地铁：距八通线双桥站500米
3334,2260,8,3222-B,3室1卫,24/29层,朝阳区,草房,保利嘉园1号院,地铁：距6号线草房站950米
3335,2260,12,33601-A,3室1卫,5/6层,丰台区,丰台东大街,东安街头条,地铁：距9号线丰台东大街站1400米
3336,3280,11,36038-A,2室1卫,4/16层,海淀区,廖公庄,金隅瑞和园,地铁：距6号线廖公庄站1400米
3337,2530,11,35930-B,3室1卫,5/15层,海淀区,永丰,友谊嘉园三期,地铁：距16号线永丰站2150米
3338,1880,9,37619-A,3室1卫,3/6层,通州区,果园,北机家属院,地铁：距八通线果园站900米
3339,4450,24,35122-A,4室1卫,24/24层,海淀区,西二旗,智学苑,"地铁：距13号线,昌平线西二旗站450米"
3340,3220,12,35122-D,4室1卫,24/24层,海淀区,西二旗,智学苑,"地铁：距13号线,昌平线西二旗站450米"
3341,5130,50,42619-A,1室1卫,27/28层,朝阳区,北岗子,将府锦苑,地铁：距14号线东段将台站3550米
3342,2400,12,43885-A,3室1卫,6/6层,朝阳区,草房,连心园东区,地铁：距6号线草房站500米
3343,3230,20,4123-C,3室1卫,7/28层,朝阳区,双桥,水岸双桥,地铁：距八通线双桥站250米
3344,1960,10,4247-B,3室1卫,2/18层,朝阳区,管庄,管庄新村,地铁：距八通线管庄站600米
3345,1960,9,46470-A,3室1卫,2/6层,丰台区,和义,久敬佳园二区,地铁：距8号线南段和义站850米
3346,2450,19,32620-B,2室1卫,2/6层,丰台区,火箭万源,东高地,地铁：距8号线南段火箭万源站800米
3347,4440,19,46820-A,5室1卫,13/23层,朝阳区,高家园,宏源公寓,地铁：距12号线高家园站500米
3348,3440,19,4446-C,3室1卫,1/6层,朝阳区,安立路,慧忠里,地铁：距15号线安立路站700米
3349,2530,12,4561-C,3室1卫,6/6层,昌平区,霍营,龙跃苑四区,"地铁：距8号线,13号线霍营站900米"
3350,3030,12,4649-C,3室1卫,20/28层,海淀区,西二旗,回龙观新村西区,"地铁：距13号线,昌平线西二旗站1050米"
3351,3120,12,34289-B,3室1卫,2/28层,昌平区,龙泽,回龙观新村东区,"地铁：距13号线,昌平线西二旗站1250米"
3352,1010,5,52771-A,2室1卫,6/13层,房山区,苏庄,佳世苑小区,地铁：距房山线苏庄站650米
3353,3280,10,51878-A,4室1卫,16/28层,朝阳区,望京,望京西园一区,"地铁：距14号线东段,15号线望京站850米"
3354,2480,10,5126-C,3室1卫,9/18层,朝阳区,星火,姚家园东里7号院,"地铁：距3号线,20号线星火站800米"
3355,1690,10,55617-A,4室1卫,3/9层,昌平区,沙河高教园,北街家园一区,地铁：距昌平线沙河高教园站1200米
3356,1980,13,55617-C,4室1卫,3/9层,昌平区,沙河高教园,北街家园一区,地铁：距昌平线沙河高教园站1200米
3357,2020,14,55617-D,4室1卫,3/9层,昌平区,沙河高教园,北街家园一区,地铁：距昌平线沙河高教园站1200米
3358,2830,19,48901-A,3室1卫,20/21层,石景山区,金安桥,金顶阳光,"地铁：距1号线,6号线苹果园站1050米"
3359,2880,10,59240-B,3室1卫,2/6层,朝阳区,劲松,劲松一区,地铁：距10号线劲松站300米
3360,2960,14,59272-A,2室1卫,9/19层,丰台区,草桥,玉安园,"地铁：距10号线,大兴机场线草桥站800米"
3361,1770,8,60869-A,4室1卫,4/6层,顺义区,花梨坎,三山新新家园,地铁：距15号线花梨坎站2100米
3362,2460,12,52349-C,3室1卫,1/10层,顺义区,花梨坎,吉祥花园,地铁：距15号线花梨坎站450米
3363,3960,14,7060-C,3室1卫,3/22层,朝阳区,望京,望京西园三区,"地铁：距14号线东段,15号线望京站600米"
3364,2460,7,71353-C,3室1卫,9/18层,朝阳区,劲松,劲松南路,地铁：距10号线劲松站350米
3365,1900,14,70720-A,3室1卫,2/11层,大兴区,高米店南,康盛园,地铁：距4号线大兴线高米店南站1450米
3366,2990,10,7121-C,4室1卫,7/28层,朝阳区,双井,首城国际,"地铁：距7号线,10号线双井站750米"
3367,3630,16,70755-C,3室1卫,4/6层,朝阳区,双井,黄木厂6号院,"地铁：距7号线,10号线双井站550米"
3368,3230,16,73992-A,2室1卫,11/12层,丰台区,刘家窑,南三环东路,地铁：距5号线刘家窑站150米
3369,1830,12,71675-B,4室1卫,3/5层,通州区,同济南路,神龙辛屯小区,地铁：距亦庄线同济南路站1650米
3370,3430,9,79259-A,2室1卫,4/16层,朝阳区,三元桥,三源里北小街,"地铁：距10号线,12号线,机场线三元桥站550米"
